"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39","Sample40","Sample41","Sample42","Sample43","Sample44","Sample45","Sample46","Sample47","Sample48","Sample49","Sample50","Sample51","Sample52","Sample53","Sample54","Sample55","Sample56","Sample57","Sample58","Sample59","Sample60"
"Gene2110",0.3813,-0.4486,-0.8908,0.7012,0.3082,-0.3968,-0.2783,-0.3682,1.224,-0.7086,-0.5699,0.2392,0.1769,0.6746,0.0963,-0.2505,-0.8904,0.0378,0.6245,0.5349,0.7003,-0.1191,-0.4571,-0.6529,-0.2964,-0.6127,-0.3165,0.6478,-0.3569,-0.1497,-0.1418,-0.7269,0.0596,-1.2371,-0.9263,0.2667,-0.9058,-0.4724,0.0667,0.2913,-0.0594,0.7552,0.0504,0.0994,-0.0266,0.7942,0.4985,0.7774,-0.3062,-0.1145,-0.3585,-0.1238,0.2576,0.031,0.2841,-1.1271,-0.8249,-0.8222,0.5056,-0.89
"Gene2111",-0.1752,0.3922,-0.5172,-0.3841,-0.042,-0.2269,0.3134,-0.7742,-0.1711,-0.1127,0.1589,-0.2731,0.3773,0.0543,-0.2408,0.1498,-0.3357,0.2589,-0.2425,-0.1259,-0.709,-0.7293,0.3414,-0.3267,0.0881,-0.078,-0.5808,0.032,-0.197,-0.0638,0.3509,-0.415,-0.0035,0.3269,-0.3794,0.0643,-0.0249,-0.4306,-0.0469,0.0393,0.0288,0.0202,-0.1525,-0.0326,0.6736,0.0281,-0.3216,-0.2711,0.018,0.5965,-0.2184,0.0049,-0.2195,-0.1909,-0.236,-0.9107,-0.1335,-0.527,0.0787,0.3428
"Gene2112",0.1105,-0.5623,-0.1812,1.1829,0.6242,-0.2558,-0.3499,-0.3359,-0.3547,0.0046,-0.4185,0.7943,-0.052,0.4021,0.0044,0.0935,-0.0959,0.3518,-0.8209,-0.4831,1.0928,0.0209,0.0349,-0.0076,-0.0838,0.195,0.4044,-0.3132,0.4316,0.0885,-0.0476,-0.276,-0.0445,0.3812,0.4836,-0.5571,-0.0121,-0.0938,0.6956,0.2474,-0.2042,0.9237,0.2191,0.0241,0.0164,0.7786,-0.1878,0.7133,-0.7174,-0.3034,-0.157,0.9782,0.8818,-0.6291,-0.2741,-0.0571,-0.3344,-0.078,0.7757,0.025
"Gene2113",-0.3097,0.1659,0.1171,-0.3843,0.5085,0.1197,-0.0844,-0.3161,0.286,0.263,-0.3851,0.623,0.0606,-0.1761,-0.0641,0.0385,-0.4106,0.0444,-0.6618,0.2647,-0.0393,-0.2306,0.5454,-0.2312,0.5067,-0.6789,-0.2539,0.3348,-0.0338,-0.6117,0.3989,-0.58,0.2136,0.0613,-0.1753,0.568,7e-04,0.0134,-0.3119,-0.004,0.033,-0.3476,-0.1627,0.1112,-0.0125,-0.2909,0.2317,0.1589,0.0122,-0.3419,0.2908,-0.4448,0.4967,0.4012,-0.0486,-0.3497,0.4022,-0.2255,0.2205,-0.2198
"Gene2114",-0.33,0.1469,0.0515,0.0367,-0.0838,-0.4952,0.1499,-0.3559,-0.0106,-0.2168,0.0523,0.8122,-0.2764,0.2467,-0.2051,0.0923,0.1888,0.1009,-0.3177,-0.1525,-0.0734,-0.1288,-0.0494,0.516,-0.1727,0.0143,0.2422,0.1148,0.0686,0.0333,-0.4711,0.3213,-0.1198,-0.0427,0.0694,0.1077,-0.5008,-0.1246,0.0804,-0.2022,-0.1895,0.1299,-0.1289,0.1026,-0.3126,0.2066,-0.2976,0.0829,-0.1993,-0.0144,-0.0371,-0.0954,0.0284,0.0442,0.2545,-0.3899,-0.0866,0.286,-0.268,0.1369
"Gene2115",0.0572,0.0751,0.5948,-0.1563,-0.5516,-0.2793,-0.2328,0.1868,0.1878,-0.0391,-0.0861,0.2598,-0.0627,-0.0105,1.3995,-0.6306,0.4548,0.3198,-0.3774,-0.5854,0.2668,-0.0329,-0.4178,-0.4954,0.2149,-0.4981,-0.0802,-0.4009,-0.1333,-0.4341,0.2873,-0.2456,-0.1809,-0.6515,-0.3249,0.7962,-0.1869,-0.01,-0.8305,0.1278,0.1391,-0.0618,-0.3796,-0.025,0.4302,-0.69,-0.0827,0.0195,0.1112,-0.1094,0.6201,0.2322,0.5325,-0.2544,-1.0693,0.6178,0.2147,-0.6229,-0.5258,-0.8717
"Gene2116",0.5286,0.0306,-0.0274,-0.1629,0.6358,0.0796,-0.0607,0.1976,0.2845,-0.1493,0.2625,-0.2541,-0.0967,0.066,0.5345,0.5557,0.3417,-0.4152,-0.3948,0.0472,-0.2728,-0.0213,0.2152,-0.1998,0.4606,0.6943,0.0673,0.449,0.0404,-0.1472,-0.0165,-0.0688,-0.3611,-0.3071,0.1713,-0.614,0.016,-0.1092,0.2971,-0.2671,-0.8398,-0.8537,0.4233,-0.1626,-0.1583,0.204,-0.3466,-0.2714,-0.0596,-0.6,0.3946,-0.1764,-0.1947,-0.3348,0.4576,0.1543,-0.2683,-0.3554,0.3089,-0.8265
"Gene2117",-2.3312,2.3018,-1.6893,1.4035,-2.7727,-3.8984,0.691,1.8612,-2.6169,3.4039,3.3097,-2.9603,1.6252,-3.8473,-0.9022,-1.4288,0.1786,-1.4335,2.4553,0.28,0.8664,-1.3032,0.2572,-2.1406,3.0652,3.7158,-0.9434,1.3036,4.2026,-3.1349,0.9938,2.2188,-0.8874,-1.9063,2.1518,-0.0687,-1.2627,0.2833,-2.6769,1.3001,-0.1462,-0.2722,2.6454,-0.3478,2.8671,-2.3258,-6.0548,-1.6735,1.0268,1.749,2.1181,2.1113,0.4965,3.2663,-0.1186,-3.5621,3.5578,3.4374,3.6439,1.5806
"Gene2118",-0.4079,-0.2348,-0.1671,-0.0342,-0.1014,-0.1402,0.0463,-0.1551,0.0538,-0.0819,-0.1138,-0.2184,-0.1335,-0.3064,0.0384,0.2078,0.2101,0.1509,0.0874,-0.2489,0.35,0.0259,-0.1657,0.1092,-0.1044,-0.4938,0.1471,0.1703,0.4525,0.0977,0.0854,-0.155,0.0817,-0.0794,-0.0661,-0.2265,0.3234,-0.0145,-0.1115,0.0956,-0.1234,0.2461,0.0013,-0.0119,-0.152,-0.1713,0.2967,0.1381,-0.5127,0.2459,0.1333,-0.0422,-0.1349,-0.1591,0.0071,-0.3681,-0.0618,-0.1219,0.0942,0.1544
"Gene2119",-0.0342,-0.0118,0.3825,-0.0372,0.0702,-0.0137,-0.4625,0.3031,-0.5644,0.303,-0.2398,0.0355,-0.1513,0.4281,-0.7892,0.3816,-0.1414,-0.4632,-0.0244,0.1747,0.8219,-0.3643,0.475,0.051,0.1783,0.0438,-0.5027,-0.0791,-0.2237,-0.2144,0.3141,-0.3106,0.7585,0.6455,0.2046,-0.0629,0.2137,0.0913,0.0879,-0.2703,0.1599,-0.6515,0.3417,0.3287,0.3666,-0.1881,1.0052,0.3515,0.0141,-0.2539,-0.1096,-0.5113,-0.3311,0.1716,-0.3987,0.2831,0.0662,-0.0561,0.398,-0.2146
"Gene2120",0.5662,0.9097,-0.3253,1.1526,0.5638,0.87,0.527,0.4528,-1.0031,-1.1812,-0.0371,-0.3695,0.5067,0.5246,-0.4953,-0.5516,1.3572,-1.3121,1.4644,0.7872,1.3354,0.1167,-0.6374,1.0848,0.3534,0.5611,0.789,0.4152,-0.8548,0.6919,-0.3872,1.5903,0.1065,0.9429,0.9344,-0.1672,0.6125,1.3744,0.82,-0.4735,-0.6197,0.818,1.0684,-0.7117,-0.2095,0.7248,-0.4151,0.9678,0.1029,1.149,-0.9101,0.0011,-0.955,-0.1929,-0.1459,0.3418,-1.2909,1.1564,0.1372,1.129
"Gene2121",0.122,0.3023,-0.2167,-0.5531,-0.2958,-0.1651,-0.3294,0.0992,0.2467,-0.1511,-0.0512,-0.4257,0.3257,-0.5233,0.2943,-0.3734,-0.1961,-0.2252,0.2914,0.069,0.2957,-0.3871,0.8107,-0.3779,0.1708,-0.5089,-0.3868,-0.317,-0.6064,-0.3853,-0.0375,0.3244,-0.032,0.3724,-0.4327,0.0917,-0.0311,0.1829,-0.0073,0.1001,-0.1346,-0.4094,-0.621,-0.5466,-0.0483,-0.1167,0.1367,-0.5132,0.3345,0.4541,-0.2999,-0.2491,0.1487,0.0632,-0.1351,0.0239,-0.4682,0.3285,-0.2805,-0.4016
"Gene2122",-0.1561,0.1626,0.1403,0.1768,-0.4285,0.3553,0.0255,0.3158,0.2576,0.1714,0.0286,0.0803,-0.1322,0.1439,-0.0036,-0.348,0.0469,-0.2877,0.3545,-0.2463,-0.1678,-0.0127,0.0153,0.0992,0.1201,0.0109,-0.2062,0.2461,0.0518,-0.4979,-0.082,0.2126,-0.1397,0.1052,-0.059,-0.0725,0.0865,0.2024,0.2441,0.2615,0.3892,0.4075,0.1416,-0.0807,-0.2423,0.0107,0.1961,0.3537,-0.4232,0.1653,-0.0774,-0.051,-0.0868,0.005,-0.0707,0.0832,-0.6555,0.0397,0.1007,-0.0566
"Gene2123",0.8137,0.3974,-0.552,0.3631,-0.5297,0.3116,-0.1227,-0.4985,-0.1627,-0.2181,0.4409,-0.6151,0.1203,-0.3151,-0.2924,-0.3395,0.4583,-0.3918,0.3396,0.6799,0.6819,-0.6998,-0.507,-0.4775,-0.1297,0.4798,0.8057,-0.052,0.018,0.0417,0.2362,0.1408,-0.5359,-0.0665,0.3184,-0.4643,0.4625,0.7774,-0.2162,0.2453,-0.1665,0.7604,0.5805,-0.2715,-0.1025,0.7168,-0.3982,0.0077,-0.277,-0.2121,-0.1348,0.4168,-0.9231,-0.4785,0.4897,-0.1863,-0.313,-0.1934,0.2783,0.591
"Gene2124",0.2382,-0.075,-0.3714,-0.2016,0.0904,0.0938,-0.4619,-0.1584,-0.6557,0.1183,0.2195,-0.1441,-0.2307,-0.1151,-0.0705,0.1926,-0.2193,-0.6846,-0.1995,0.0622,0.1011,-0.2143,0.1555,0.185,0.0044,-0.0384,0.0186,-0.6361,0.3193,0.0139,0.2895,-0.0847,-0.4912,-0.0875,-0.2776,0.0053,0.0444,0.0592,-0.1491,-0.2538,0.0204,-0.1838,-0.1704,-0.0133,0.3478,-0.3602,0.0639,-0.3474,0.2129,0.5486,0.4657,0.1102,-0.1537,-0.3343,-0.2871,-0.5428,0.2311,0.1309,0.2263,-0.4809
"Gene2125",0.0691,0.2407,-0.2573,0.3235,-0.4876,-0.0154,0.1089,-0.2983,0.5769,0.385,0.8626,-0.1342,0.7148,-0.025,0.0513,0.0299,0.5644,0.7204,0.3572,-0.1668,-0.3769,0.172,-0.1418,-0.6807,-0.1253,0.3476,0.4204,-0.3034,0.0429,-0.3302,-0.7115,-0.1909,-0.634,-0.4851,-0.7085,-0.3146,-0.13,-0.4435,0.3886,-0.2367,0.1736,0.1682,1.0364,-0.0115,-0.8503,0.7916,0.1111,0.2883,-0.5236,0.2023,-0.0348,0.1406,-0.2582,-0.5222,-0.2024,-0.1775,0.567,-0.5473,-0.4968,0.3209
"Gene2126",0.278,-0.5107,-0.1143,-0.0476,-0.2776,0.0537,-0.2719,0.0898,-0.769,-0.0621,-0.2878,-0.2027,0.3011,-0.0479,-0.0513,-0.5232,0.0363,0.1384,-0.5298,0.0628,0.2743,-0.6412,-0.346,0.1737,0.3194,-0.2215,0.0542,0.0968,-0.0639,0.0222,-0.6316,-0.0858,-0.1447,-0.0493,0.1744,0.0268,-0.2675,0.3398,-0.618,0.1236,-0.0389,-0.1232,-0.0892,-0.1397,-0.3565,-0.6717,-0.0404,-0.069,-0.1155,-0.0439,0.2435,-0.4055,-0.0074,-0.0091,-0.5273,0.205,0.1226,-0.274,0.12,-0.1878
"Gene2127",-0.1771,-0.1848,-0.2241,-0.3275,0.1312,-0.4212,-0.333,-0.0569,0.3384,0.4397,0.0798,0.5905,-0.484,-0.1917,-0.1667,0.1206,-0.2633,-0.2274,-0.3,-0.3636,-0.1433,-0.1682,0.3565,0.0977,-0.0516,-0.403,-0.1058,0.2717,0.3833,-0.3519,0.1413,-0.527,0.0635,-0.6527,-0.3676,0.4115,-0.3156,-0.4854,-0.3456,0.4968,0.2473,-0.1416,0.2136,0.3294,0.6003,-0.3922,0.0034,0.1035,0.0672,-0.1007,0.3566,-0.3168,0.2314,0.1377,-0.1085,-0.3453,0.371,-0.3276,0.2072,-0.2669
"Gene2128",1.0657,-0.4585,-0.8241,-0.5321,-0.6542,-0.1103,0.0655,-0.5991,-0.5234,0.9172,-0.1527,0.7114,-0.1289,-0.2872,0.8736,-0.4241,0.4802,-0.412,-0.2051,-0.0294,0.1302,0.2172,0.7489,-0.4391,0.115,0.3289,0.5381,-0.0889,1.2476,0.5064,-0.1173,0.1675,-1.5986,-0.7244,0.3799,-0.8922,0.4743,0.3829,0.8744,-0.1426,-0.0663,-0.1878,-0.6102,0.4255,-0.3228,-0.3718,-0.9367,-0.623,-0.7526,0.199,0.2236,0.8982,-0.8111,-0.6246,1.4026,0.6995,0.64,-0.1469,0.1263,0.4522
"Gene2129",-0.2616,-0.1511,-0.0401,-0.2409,0.0046,-0.0739,-0.2929,0.3012,0.4705,0.1069,-0.1301,-0.356,0.2521,0.0784,0.291,-0.168,-0.3502,-0.5312,0.0511,-0.2334,0.2117,-0.0811,-0.2195,-0.2036,0.2337,-0.3236,-0.2352,-0.0039,0.1094,0.0928,0.0867,0.0736,0.115,-0.3731,0.1374,-0.015,0.1376,-0.2989,-0.6411,0.1414,-0.6722,-0.0774,-0.028,0.0895,-0.1477,0.1558,-0.1524,0.09,-0.6023,-0.209,-0.2825,-0.1207,0.1668,-0.3678,-0.1758,0.2588,-0.1698,0.3094,-0.4738,-0.042
"Gene2130",-0.2697,-0.2266,0.2754,-0.139,0.2888,1.1153,-0.0153,0.9596,-0.3287,-0.2273,-0.5505,-0.0766,-0.1359,0.5077,-0.0654,-0.1769,0.0281,-0.0215,0.2681,0.1957,0.2665,0.0019,0.2973,0.4508,1.1079,0.2592,-0.1027,-0.0409,-0.5526,-0.3121,0.1147,0.2371,0.309,0.4985,0.1766,0.5949,-0.513,0.1499,-0.0427,-0.3972,-0.1497,-0.2141,-0.0084,0.1425,0.0499,-0.2681,-0.0759,0.5463,0.7005,0.4392,0.0211,-0.2418,0.3982,-0.0854,-0.5405,0.1335,-0.1942,0.3357,0.3673,0.3735
"Gene2131",0.2498,0.5565,0.0043,-0.6472,0.1329,-0.0864,0.2818,0.0594,0.082,0.0928,0.4055,-0.4764,-0.3972,0.1965,0.0204,0.3719,0.1293,-0.007,0.1784,-0.0796,0.0266,-0.0164,0.5877,-0.2309,-0.3623,-0.1317,0.2069,0.3648,0.1278,0.3288,0.1202,0.6026,-0.2874,0.2414,0.2683,0.1187,-0.0285,-0.5989,-0.2704,0.257,0.1708,0.1297,-0.0998,-0.1102,0.1738,0.5713,-0.0322,0.1864,0.2282,0.0852,0.3106,0.0549,-0.1127,0.3429,0.3622,0.294,0.1766,0.1861,0.0476,-0.0037
"Gene2132",-0.041,-0.1223,0.0868,0.3232,-0.0896,0.401,0.107,-0.3942,0.1534,0.1331,0.1577,-0.0727,0.0535,0.2058,0.1141,0.1342,0.3358,0.156,-0.2586,0.1782,-0.0943,0.5913,-0.11,0.2819,0.1419,-0.0146,-0.1338,0.1025,0.2824,0.321,0.5047,-0.121,0.0231,0.2391,-0.0718,-0.2218,-0.564,-0.3358,0.2462,-0.1938,0.2859,-0.0542,0.065,0.1494,0.2916,0.2152,0.2839,0.1782,-0.1861,0.0696,0.2547,0.2465,0.3856,0.0383,-0.2046,-0.1706,0.2061,0.3189,0.1182,0.1739
"Gene2133",-0.3276,-0.7428,0.6057,-0.8786,-0.2471,-0.2563,-1.0746,-0.027,-0.1255,-0.077,-0.0637,0.583,0.0597,-0.985,-0.7069,0.0492,0.475,0.0831,-0.7322,-1.1455,-0.1869,-0.8207,-0.2422,0.1988,-0.1505,-0.2895,-0.7313,0.4801,-0.3342,0.0887,0.1463,-0.6062,0.2573,0.1926,-0.7296,-0.0789,-0.5423,-0.713,-0.711,-0.1395,0.1082,-0.4035,-0.1476,0.3918,-0.4618,0.0337,-0.2811,0.4127,0.4461,-0.7798,0.5695,-0.7089,0.4783,0.445,-0.6078,0.161,-0.0343,0.1712,0.1131,-0.0993
"Gene2134",-0.6041,0.3892,0.2767,-0.0559,-0.0566,-0.3656,0.3993,-0.428,0.4062,0.5171,-0.469,0.349,0.4608,-0.2539,-0.2991,-0.3753,-0.2756,-0.0252,0.1599,-0.2603,-0.3353,0.22,0.5142,0.6639,-0.58,0.1148,-0.3203,0.0661,0.1496,0.365,0.3386,0.1868,0.1742,-0.6778,-0.2047,0.3492,0.1684,0.1944,-0.4295,-0.3118,0.7653,0.4597,0.9127,0.3859,0.1623,0.4354,-0.2038,0.0458,-0.0966,0.4411,0.0785,0.0242,-0.5125,0.1416,0.695,0.1166,-0.16,-0.1136,0.2206,-0.1659
"Gene2135",0.2815,-0.158,0.4384,0.0588,-0.2724,-0.4602,-0.3676,0.1494,-0.2306,0.3432,0.2284,0.0472,-0.1451,-0.6353,0.3263,-0.1028,0.0417,-0.0145,-0.2595,0.4079,0.4906,0.1709,-0.0689,0.0981,0.0157,0.0624,-0.3528,0.397,-0.4424,-0.4738,0.101,-0.1447,-0.1121,-0.0769,-0.0876,-0.1957,-0.2121,-0.4757,0.0999,-0.1578,-0.0487,-0.3654,0.2649,-0.3829,0.1647,0.0837,0.5562,-0.2712,-0.4075,-0.8449,0.0194,-0.1331,-0.1477,-0.2208,0.1927,-0.3143,0.0101,0.2408,-0.1665,-0.1013
"Gene2136",-0.3869,0.0918,0.1424,0.159,0.2953,-0.3879,-0.25,0.5354,-0.3521,-0.1594,0.1797,0.0318,0.1537,0.0583,-3e-04,0.0657,0.1246,-0.1745,-0.1874,0.2897,0.3251,0.2811,-0.608,-0.0623,-0.1581,-0.4324,-0.3496,0.0282,-0.1608,-0.712,0.1568,-0.0315,-0.121,0.2946,0.176,-0.2989,-0.1812,0.3453,0.107,-0.1352,0.5402,-0.1129,0.1365,0.315,-0.1057,0.1728,0.0247,-0.101,-0.0504,0.3062,-0.196,-0.1389,0.2041,0.2386,-0.1473,0.1816,0.0593,0.2686,-0.2375,0.1379
"Gene2137",0.1175,0.5914,0.3134,0.2708,0.7899,0.5094,-1.4196,1.1532,-1.0163,-0.537,-0.2564,-1.1378,-0.4983,0.6,0.4565,-1.1344,1.0178,-1.4297,0.3302,-0.0065,0.8631,0.1928,0.5497,0.023,-0.2258,0.2256,0.6787,1.9909,-0.8324,0.7602,0.565,-0.2833,0.769,0.6935,-0.3752,0.4484,-0.1098,0.6047,1.387,-0.4368,0.8223,1.0626,0.4663,0.6996,-0.4129,0.4364,0.4098,0.603,1.8072,1.2155,-0.5453,-0.2771,-0.6658,0.0265,-1.432,1.4342,-0.6473,0.6631,0.7781,0.3562
"Gene2138",-0.6718,-0.1357,0.6443,-0.415,0.2982,-0.3349,-0.2588,0.3303,0.0625,0.1819,-0.044,0.631,-0.5867,0.6706,-0.4206,0.6681,-0.3629,0.515,-0.1597,-0.4017,-0.7305,0.745,0.4024,0.3593,0.8885,-0.1256,-0.2731,0.1551,0.4616,0.1142,0.2207,-0.2312,0.1674,0.0136,-0.2512,0.6932,-0.1015,-0.4473,-0.1436,0.4915,0.5133,-0.3826,-0.2083,0.6997,0.139,-0.4307,0.3991,0.0125,0.3713,-0.6394,0.4754,-0.3485,0.621,0.6226,-0.116,-0.1756,0.0501,-0.1508,0.6238,-0.3415
"Gene2139",-0.3398,0.2164,0.704,-0.2867,0.4386,0.2909,0.367,0.3244,0.6909,-0.1557,0.1881,0.2804,0.3392,-0.4267,-0.2805,0.4148,0.0927,0.2181,-0.33,-0.305,0.0387,-0.1608,-0.1097,0.0612,-0.2492,0.0504,0.1035,0.5131,0.2291,-0.0955,-0.2043,-0.2822,-0.536,-0.0609,-0.3407,0.2672,0.5188,0.012,-0.0295,0.1272,0.6932,0.1617,0.1052,0.7338,-0.0228,-0.0855,0.0062,-0.0099,0.2536,-0.4456,0.1543,0.4673,0.4797,0.2192,0.7412,0.182,-0.127,-0.6249,0.2098,-0.0587
"Gene2140",0.1331,-0.0999,-0.0608,-0.029,0.5432,0.2024,0.7405,0.7282,0.5323,0.0927,0.2194,0.9215,0.0642,0.7,-0.3268,0.3106,0.8947,-0.7334,0.7236,-0.16,-0.2058,0.5871,0.1433,0.1359,0.2718,-0.0644,0.298,0.075,0.0342,-0.6456,-0.2495,0.477,-1.1104,0.2194,-0.067,-0.0907,0.2459,0.2416,0.2468,1.292,-0.4564,-0.0983,-0.0011,-0.5543,0.3165,-0.116,0.4306,0.0494,0.2853,-0.2947,0.7799,0.8283,-0.3112,0.3112,-0.3035,-0.7469,-0.1728,-0.0656,0.0373,-0.2513
"Gene2141",-0.0247,-0.4138,-0.2773,-0.3168,0.2266,-0.309,-0.3352,-0.6954,0.4524,-0.0042,0.0223,0.5806,-0.3318,-0.2495,-0.9008,-0.4833,0.7082,0.4702,0.3233,-0.5066,-0.3439,-0.8779,-0.6296,0.2857,-0.0557,0.2692,-0.3459,-0.0741,0.2019,0.205,-0.0606,0.8337,-0.6644,0.635,0.1244,-0.3897,-0.3951,-1.1142,0.0739,0.2282,-0.4432,-0.3346,0.0212,-0.0055,0.1022,-0.1911,-0.2651,0.3159,0.1577,0.2674,0.2324,0.0127,0.4156,-0.4509,-0.5371,0.0297,0.5208,-0.0994,-0.4963,0.0226
"Gene2142",-0.0019,-0.3588,-0.0696,-0.349,-0.4238,-0.4558,0.2493,-0.4332,-0.006,0.621,0.4937,0.1971,0.3114,-0.3029,0.0984,-0.0134,-0.551,0.0672,-0.1504,-0.1782,0.2085,-0.4996,-0.6539,0.3733,-0.3319,-0.3463,-0.0768,-0.631,0.2533,-0.3294,-0.1518,0.0053,-0.8089,-0.5406,-0.0704,0.2927,-0.1418,-0.4293,-0.7891,0.1046,-0.1125,-0.0047,0.0582,-0.7744,0.5642,-0.0096,-0.4177,-0.6292,-0.5742,-0.3585,0.4832,0.1618,0.1543,-0.6314,0.5996,-0.7861,0.265,-0.5411,-0.4967,-0.2329
"Gene2143",0.4192,0.4949,0.8246,0.8363,-0.7246,0.136,-0.0889,-0.1816,-0.0855,0.5219,0.2991,-0.0905,3e-04,0.149,0.355,0.0123,-0.2092,0.3683,0.5075,-0.2021,-0.1896,-0.4287,-0.2673,0.2475,-0.3272,-0.4195,0.3512,0.1371,-0.384,-0.1434,0.4054,0.1312,0.8006,0.0155,-0.2318,-0.3686,-0.0175,-0.2251,-0.1781,-1.0051,-0.54,-0.4942,-0.275,-0.0452,0.2542,-0.7904,-0.3775,0.4739,0.0517,0.3014,-0.1029,0.5943,0.0073,0.4448,0.0473,-0.2411,0.5397,-0.6139,0.2268,-0.0569
"Gene2144",0.2641,-0.3741,-0.0912,-0.093,-0.5378,0.1912,0.5028,0.1617,-0.3193,0.1498,0.3921,-0.2121,1.0768,0.1151,-0.5672,-0.2949,-0.1559,0.088,-0.4327,-0.1936,0.2335,0.1152,0.6848,0.2666,-0.1424,-0.0466,0.4522,0.4962,-0.4254,0.1908,-0.1516,0.5922,-0.5437,-0.5175,0.4882,0.0647,-0.3371,0.4812,0.0924,-0.0227,0.4098,0.2264,-0.0484,0.811,-0.5381,0.2873,-0.2383,0.7281,-0.2627,0.1963,0.1075,0.1479,0.1123,0.5589,-0.7261,0.177,-0.5438,0.3932,0.157,0.3403
"Gene2145",0.0978,0.2942,-0.9261,-0.592,-0.1482,0.145,0.1006,-0.1842,0.2486,0.4811,0.4367,0.1857,0.5234,-0.6235,0.4704,-0.3415,0.4113,0.2677,0.0138,-0.1773,-1.0457,-0.4504,-0.4344,-0.3414,0.0912,0.0509,-0.1536,-0.3667,0.2644,-0.6266,-0.7341,-0.5409,-0.1451,-0.6461,0.1069,-0.9795,-0.2283,-0.2867,0.0873,0.31,0.0298,0.4141,-0.1725,0.2067,-0.1261,0.6112,-0.5025,0.244,-0.7282,-0.1941,-0.2277,0.1464,0.0583,0.0773,0.4242,-0.9601,0.2871,-0.7302,-0.4727,0.395
"Gene2146",0.2256,-0.1063,0.7076,0.4322,-0.2296,-0.1099,-0.6027,0.0879,-0.0502,-0.0988,-0.164,0.159,0.426,-0.1747,-0.0198,-0.2614,-0.1614,0.4839,-0.0964,-0.3025,0.1964,-0.4591,-0.1828,-0.4156,-0.1671,0.1126,-0.33,0.009,0.0935,0.0548,-0.4864,0.2438,-0.3569,-0.0159,-0.46,0.2511,-0.037,-0.3064,0.1761,0.4339,0.101,-0.1111,0.1894,-0.0545,0.0268,0.2701,0.3159,0.0086,0.0395,-0.0433,0.2945,-0.3555,-0.0422,0.4713,0.0365,-0.2101,-0.7312,0.2074,0.0525,-0.1633
"Gene2147",0.1514,0.6413,0.19,0.138,0.7476,0.7051,-0.1169,0.378,-0.3034,-0.1628,-0.2027,0.3272,0.2392,0.7546,-0.431,0.4774,0.0223,-0.1786,0.4148,-0.3912,0.1202,0.9257,0.8867,0.9431,0.3543,0.0531,-0.0559,0.5435,-0.4158,0.8483,0.4249,0.5644,0.4713,0.3207,0.3112,0.3927,0.5114,0.5281,-0.1434,-0.4903,0.1608,0.3811,0.1715,0.2073,0.4831,-0.4182,0.4467,0.4144,0.5418,0.3383,0.2802,-0.5722,0.0449,1.0464,0.0033,0.4205,-0.4508,1.171,0.7764,0.0535
"Gene2148",0.3407,-0.4481,0.1992,-0.227,1.3266,-1.2581,0.0083,0.0181,0.4607,-0.0844,-0.2502,0.0184,-0.2473,-0.5617,-1.2888,0.4723,0.1741,0.2033,-0.2174,-0.262,0.0014,1.3053,0.5759,0.4524,0.0815,0.5884,-0.1996,0.1223,1.0816,1.2249,0.4446,-0.2342,1.1782,-0.9531,0.1614,0.1666,-0.3458,-0.454,0.2806,-0.4808,-1.339,0.083,0.5664,0.2508,-0.7503,-0.0616,0.708,0.0675,0.1275,0.293,0.563,-0.4168,0.0228,-1.2593,-0.5121,0.5076,0.9095,-0.2556,0.9352,-0.4105
"Gene2149",-0.3507,-0.372,0.4638,-0.2437,-0.3475,0.1473,-0.6352,-0.3766,0.6156,0.4807,-0.3192,-0.0213,0.182,-0.1581,0.6503,-0.1701,-0.4138,0.2043,-0.6297,-0.2942,-0.0604,0.4652,0.5863,-0.0992,0.2942,-0.7198,-0.0509,-0.5043,-0.0234,-0.3366,-0.0813,-0.1858,-0.2038,-0.4388,0.0994,-0.3212,0.3277,-0.2695,0.2241,-0.168,-0.2781,-0.3063,-0.6095,-0.2291,-0.5487,-0.2842,0.6977,0.1802,-0.0731,-0.3459,0.4039,0.011,0.143,0.1639,-0.0284,0.3241,-0.3995,-0.4339,-0.3472,-0.307
"Gene2150",-0.6442,0.4558,-0.2968,-0.1365,0.5014,-0.3115,0.0803,-0.3241,-0.3055,-0.3127,0.1551,0.0991,-0.3968,-0.2575,-0.0444,-0.1724,0.0485,-0.456,-0.3974,0.444,-0.0278,-0.5415,-0.063,-0.5156,0.2607,-0.0044,-0.0865,-0.1129,0.6766,0.2288,0.6481,0.1701,-0.0524,-0.7205,0.1484,0.1043,-0.3619,-0.1284,-0.1683,0.0155,-0.6334,0.0162,-0.2998,0.1402,-0.1798,-0.2001,0.4419,-0.1926,-0.8147,-0.0291,-0.0925,-0.6147,0.108,-0.0706,0.1957,-0.0555,0.5111,-0.1248,-0.1982,-0.2664
